nome_produto,marca,segmento,categoria,subcategoria
Membrana Biológica Suína Ossix Volumax Scaffold ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Suína Ossix Volumax Scaffold ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Suína Ossix Volumax Scaffold ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Biológica Suína Ossix Volumax Scaffold ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Colágeno Bovina Lumina,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Colágeno Bovina Surgitime ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Colágeno Bovina Surgitime ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana de Colágeno Geistlich Bio Gide 13x25mm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana de Colágeno Geistlich Bio Gide 25x25mm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana de Colágeno Geistlich Bio Gide Compressed 20x30mm ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Regenerativa de Prolipropileno ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Sintética de Titânio Surgitime ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Sintética Duosynt 300UM ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Sintética Duosynt 300UM ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
"Membrana Sintética Plenum Guide 0,25x15x20mm ",,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
"Membrana Sintética Plenum Guide 0,25x25x25mm ",,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
"Membrana Sintética Plenum Guide 0,25x30x40mm ",,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
"Membrana Sintética Plenum Guide 0,50x15x20mm ",,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
"Membrana Sintética Plenum Guide 0,50x25x25mm ",,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
"Membrana Sintética Plenum Guide 0,50x30x40mm ",,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Sintética Polipropileno ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Sintética PTFE Surgitime ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Sintética Titânio Lumina Grid ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Membrana Surgitime Titânio Seal ,,Dentista,Implantodontia,Biomateriais e Regeneração Óssea
Mesa Auxiliar ,,Dentista,Consultorio Odontológico,Mobiliário Odontológico
Mesa Auxiliar Premium ,,Dentista,Consultorio Odontológico,Mobiliário Odontológico
Micro Pilar CM ,,Dentista,Implantodontia,Componente Protético
Micro Pontas Alongadoras 3M™ RyleX™ Universal ,,Dentista,Prótese Clínica e Reabilitação Oral,Instrumentos para Prótese
Micro Pontas Misturadoras 3M™ RyleX™ Mixing Universal ,,Dentista,Prótese Clínica e Reabilitação Oral,Instrumentos para Prótese
Microagulha 40mm 25g ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microagulha 40mm 27g ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microagulha 4mm 32g ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microagulha 70mm 18g ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
"Microagulhamento Infusion 1,50mm ",,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microagulhas 34G X 4mm ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microagulhas 34G X 8mm ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula 50mm 22g ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula 50mm 25g ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula com Agulha 21G 22gx70mm ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula com Agulha Auxiliar ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula com Agulha Auxiliar ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula para Preenchimento ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula para Preenchimento 21g com Agulha 21g x 70mm 24unid ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula para Preenchimento 50mm ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula para Preenchimento 50mm 22G ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula para Preenchimento 50mm 25G ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula para Subcisão 20G ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula Preenchedor Facial 10SC ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula Profill MCR ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Microcânula Slim ,,Dentista,Harmonização Orofacial,Instrumentais para HOF
Micromotor ,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor a Ar Externo Intra NL235,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor Astro Turbo ,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor C,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor de Ar Irrigação Externa AM,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor de Bancada 35K ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor de Bancada Handy 702 ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor de Bancada LB100 ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor de Bancada LB2000 ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor de Bancada LB3000 ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor de Bancada Multi 600 ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor de Bancada S1 ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor de Bancada S1 E,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor de Bancada S2 ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor de Bancada S3 ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor Elétrico Champion Eletronic Marathon ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor Elétrico Champion Eletronic Marathon E,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor Elétrico Clínico E,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor Elétrico Portátil MME,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor Elétrico S1 Pro Bivolt ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor Elétrico S4 Bivolt ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor Intra MI 01 ,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor Intra MI 01 Prime RE ,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor Intra MI 01 Prime RI ,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Micromotor Marathon 3 Champion Branco E,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor Portátil Prime,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Micromotor X10 ,,Dentista,Equipamentos e Peças de Mão,Micromotores e Contra-Ângulos
Modulo Automático ,,Laboratório,Equipamentos Laboratório,Equipamentos para Polimento e Acabamento
Mini Kit Matriz Unimatrix R ,,Dentista,Dentística e Estética,Sistemas de Matriz
Mini Kit Matriz Unimatrix R ,,Dentista,Dentística e Estética,Sistemas de Matriz
Mini Pilar Angulado 17 Graus HE ,,Dentista,Implantodontia,Componente Protético
"Mini Pilar Angulado 17 Graus HE 3,4x3mm ",,Dentista,Implantodontia,Componente Protético
"Mini Pilar Angulado 17 Graus HE 5,0x2mm ",,Dentista,Implantodontia,Componente Protético
"Mini Pilar Angulado 17 Graus HE 5,0x3mm ",,Dentista,Implantodontia,Componente Protético
"Mini Pilar Angulado 17 Graus HE 5,0x4mm ",,Dentista,Implantodontia,Componente Protético
Mini Pilar Angulado 30 Graus HE ,,Dentista,Implantodontia,Componente Protético
Mini Pilar Angulado CM ,,Dentista,Implantodontia,Componente Protético
Mini Pilar Angulado CM ,,Dentista,Implantodontia,Componente Protético
Mini Pilar Angulado HE ,,Dentista,Implantodontia,Componente Protético
Mini Pilar CM NE ,,Dentista,Implantodontia,Componente Protético
Mini Pilar de Retenção do O,,Dentista,Implantodontia,Componente Protético
Mini Pilar HE ,,Dentista,Implantodontia,Componente Protético
"Mini Pilar HE 3,4 3mm ",,Dentista,Implantodontia,Componente Protético
"Mini Pilar HE 5,0 2mm ",,Dentista,Implantodontia,Componente Protético
Mini Pilar Padrão CM ,,Dentista,Implantodontia,Componente Protético
Mini Pilar Padrão HE ,,Dentista,Implantodontia,Componente Protético
Parafuso Mini Pilar 3D ,,Dentista,Implantodontia,Componente Protético
Mini Tubo Cerâmico Iceram para Colagem ,,Dentista,Ortodontia,Bandas e Tubos
